OID_,FID_Garage_Points_buffered,OID1,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,X,Y,BUFF_DIST,FID_Buildings,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,156, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.32679603,36.03807897
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,157, ,,No,UNIVERSITY,,,,,,,,, |  | ,43.15237251,106.5464716
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,316,378,SSPG,No,GARAGE,378,SSPG,South Side Parking Garage,1990,4,750 Bizzell St,College Station,77843,South Side Parking Garage | SSPG | 0378,553.269233,14543.69141
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,323, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.65759259,37.54640286
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,391,448,ADAM,No,ACADEMIC,448,ADAM,Adams Band Hall,1970,3,611 Lewis St,College Station,77843,Adams Band Hall | ADAM | 0448,18.85740346,4.891997293
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,803,291,RUDD,No,HOUSING TAMU,291,RUDD,Rudder Residence Hall,1989,4,770 Mosher Ln,College Station,77843,Rudder Residence Hall | RUDD | 0291,131.1813113,716.3650051
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,829,292,EPPR,No,HOUSING TAMU,292,EPPR,Eppright Residence Hall,1989,4,695 Spence St,College Station,77843,Eppright Residence Hall | EPPR | 0292,224.7397316,1519.106544
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.33362,30.61373,150,832,293,APPE,No,HOUSING TAMU,293,APPE,Appelt Residence Hall,1989,4,660 Mosher Ln,College Station,77843,Appelt Residence Hall | APPE | 0293,48.76197252,104.1418403
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,105,468,LIBR,No,LIBRARY,468,LIBR,Evans Library,1929,7,400 Spence St,College Station,77843,Evans Library | LIBR | 0468,613.6363603,6859.421766
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,212,357,,No,UNIVERSITY,357,,Vending Machine Booth,1999,1,408 Spence St,College Station,77843,Vending Machine Booth |  | 0357,31.08495446,54.45190778
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,428,469,CCPG,No,GARAGE,469,CCPG,Central Campus Parking Garage,1999,8,450 Spence St,College Station,77843,Central Campus Parking Garage | CCPG | 0469,225.2239418,2792.717644
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,673,443,OMB,No,ACADEMIC,443,OMB,Eller Oceanography & Meteorology Building,1973,16,797 Lamar St,College Station,77843,Eller Oceanography & Meteorology Building | OMB | 0443,49.81370776,67.15972919
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,680,517,CSA,No,ACADEMIC,517,CSA,Computing Services Annex,1966,5,733 Lamar St,College Station,77843,Computing Services Annex | CSA | 0517,105.9441894,574.4744714
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,681,470,GLAS,No,ACADEMIC,470,GLAS,Melbern G. Glasscock Building,1921,4,398 Spence St,College Station,77843,Melbern G. Glasscock Building | GLAS | 0470,137.1367243,924.017867
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,683,472,AIEN,No,ACADEMIC,472,AIEN,AI Engineering Building,1932,6,423 Spence St,College Station,77843,AI Engineering Building | AIEN | 0472,259.3485372,1623.047236
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,688,516,CSC,No,ACADEMIC,516,CSC,Computing Services Center,1959,3,731 Lamar St,College Station,77843,Computing Services Center | CSC | 0516,196.08824,2097.825091
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,694,471,PAV,No,ACADEMIC,471,PAV,Pavilion,1916,2,424 Spence St,College Station,77843,Pavilion | PAV | 0471,184.00577,1881.498377
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,751,457,TAES,No,ACADEMIC,457,TAES,TAES Annex Building,1933,2,730 Lamar St,College Station,77843,TAES Annex Building | TAES | 0457,23.35001998,23.98078393
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,758,511,HLB,No,ACADEMIC,511,HLB,HEEP Laboratory Building,1957,5,645 Lamar St,College Station,77843,HEEP Laboratory Building | HLB | 0511,177.1694334,1303.34776
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,772,444,PETR,No,ACADEMIC,444,PETR,Peterson Building,1963,5,435 Nagle St,College Station,77843,Peterson Building | PETR | 0444,231.8578843,1741.796377
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,952,356,,No,UNIVERSITY,356,,Parking Booth At PA35,1997,1,704 Lamar St,College Station,77843,Parking Booth At PA35 |  | 0356,18.69247629,19.42830799
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,1024,275,LAAH,No,ACADEMIC,275,LAAH,Liberal Arts and Arts & Humanities Building,2012,5,399 Spence St,College Station,77843,Liberal Arts and Arts & Humanities Building | LAAH | 0275,232.4243782,1732.906412
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,1153,458,EABC,No,ACADEMIC,458,EABC,Engineering Activities Bldg C,1954,1,588 Lamar St,College Station,77843,Engineering Activities Bldg C | EABC | 0458,226.8709851,932.2332622
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.33777,30.6165,150,1154,459,EABB,No,ACADEMIC,459,EABB,Engineering Activities Bldg B,1949,1,620 Lamar St,College Station,77843,Engineering Activities Bldg B | EABB | 0459,177.5836359,710.74686
